# NativeCalendarHolidays TSV v1: YYYYMMDD<TAB>isOffDay(1/0)<TAB>name
# Only dates explicitly present in the source are marked. Missing dates are not classified.
20200927	0	国庆节、中秋节
20201001	1	国庆节、中秋节
20201002	1	国庆节、中秋节
20201003	1	国庆节、中秋节
20201004	1	国庆节、中秋节
20201005	1	国庆节、中秋节
20201006	1	国庆节、中秋节
20201007	1	国庆节、中秋节
20201008	1	国庆节、中秋节
20201010	0	国庆节、中秋节
20210101	1	元旦
20210102	1	元旦
20210103	1	元旦
20210207	0	春节
20210211	1	春节
20210212	1	春节
20210213	1	春节
20210214	1	春节
20210215	1	春节
20210216	1	春节
20210217	1	春节
20210220	0	春节
20210403	1	清明节
20210404	1	清明节
20210405	1	清明节
20210425	0	劳动节
20210501	1	劳动节
20210502	1	劳动节
20210503	1	劳动节
20210504	1	劳动节
20210505	1	劳动节
20210508	0	劳动节
20210612	1	端午节
20210613	1	端午节
20210614	1	端午节
20210918	0	中秋节
20210919	1	中秋节
20210920	1	中秋节
20210921	1	中秋节
20210926	0	国庆节
20211001	1	国庆节
20211002	1	国庆节
20211003	1	国庆节
20211004	1	国庆节
20211005	1	国庆节
20211006	1	国庆节
20211007	1	国庆节
20211009	0	国庆节
20220101	1	元旦
20220102	1	元旦
20220103	1	元旦
20220129	0	春节
20220130	0	春节
20220131	1	春节
20220201	1	春节
20220202	1	春节
20220203	1	春节
20220204	1	春节
20220205	1	春节
20220206	1	春节
20220402	0	清明节
20220403	1	清明节
20220404	1	清明节
20220405	1	清明节
20220424	0	劳动节
20220430	1	劳动节
20220501	1	劳动节
20220502	1	劳动节
20220503	1	劳动节
20220504	1	劳动节
20220507	0	劳动节
20220603	1	端午节
20220604	1	端午节
20220605	1	端午节
20220910	1	中秋节
20220911	1	中秋节
20220912	1	中秋节
20221001	1	国庆节
20221002	1	国庆节
20221003	1	国庆节
20221004	1	国庆节
20221005	1	国庆节
20221006	1	国庆节
20221007	1	国庆节
20221008	0	国庆节
20221009	0	国庆节
20221231	1	元旦
20230101	1	元旦
20230102	1	元旦
20230121	1	春节
20230122	1	春节
20230123	1	春节
20230124	1	春节
20230125	1	春节
20230126	1	春节
20230127	1	春节
20230128	0	春节
20230129	0	春节
20230405	1	清明节
20230423	0	劳动节
20230429	1	劳动节
20230430	1	劳动节
20230501	1	劳动节
20230502	1	劳动节
20230503	1	劳动节
20230506	0	劳动节
20230622	1	端午节
20230623	1	端午节
20230624	1	端午节
20230625	0	端午节
20230929	1	中秋节、国庆节
20230930	1	中秋节、国庆节
20231001	1	中秋节、国庆节
20231002	1	中秋节、国庆节
20231003	1	中秋节、国庆节
20231004	1	中秋节、国庆节
20231005	1	中秋节、国庆节
20231006	1	中秋节、国庆节
20231007	0	中秋节、国庆节
20231008	0	中秋节、国庆节
20240101	1	元旦
20240204	0	春节
20240210	1	春节
20240211	1	春节
20240212	1	春节
20240213	1	春节
20240214	1	春节
20240215	1	春节
20240216	1	春节
20240217	1	春节
20240218	0	春节
20240404	1	清明节
20240405	1	清明节
20240406	1	清明节
20240407	0	清明节
20240428	0	劳动节
20240501	1	劳动节
20240502	1	劳动节
20240503	1	劳动节
20240504	1	劳动节
20240505	1	劳动节
20240511	0	劳动节
20240610	1	端午节
20240914	0	中秋节
20240915	1	中秋节
20240916	1	中秋节
20240917	1	中秋节
20240929	0	国庆节
20241001	1	国庆节
20241002	1	国庆节
20241003	1	国庆节
20241004	1	国庆节
20241005	1	国庆节
20241006	1	国庆节
20241007	1	国庆节
20241012	0	国庆节
20250101	1	元旦
20250126	0	春节
20250128	1	春节
20250129	1	春节
20250130	1	春节
20250131	1	春节
20250201	1	春节
20250202	1	春节
20250203	1	春节
20250204	1	春节
20250208	0	春节
20250404	1	清明节
20250405	1	清明节
20250406	1	清明节
20250427	0	劳动节
20250501	1	劳动节
20250502	1	劳动节
20250503	1	劳动节
20250504	1	劳动节
20250505	1	劳动节
20250531	1	端午节
20250601	1	端午节
20250602	1	端午节
20250928	0	国庆节、中秋节
20251001	1	国庆节、中秋节
20251002	1	国庆节、中秋节
20251003	1	国庆节、中秋节
20251004	1	国庆节、中秋节
20251005	1	国庆节、中秋节
20251006	1	国庆节、中秋节
20251007	1	国庆节、中秋节
20251008	1	国庆节、中秋节
20251011	0	国庆节、中秋节
20260101	1	元旦
20260102	1	元旦
20260103	1	元旦
20260104	0	元旦
20260214	0	春节
20260215	1	春节
20260216	1	春节
20260217	1	春节
20260218	1	春节
20260219	1	春节
20260220	1	春节
20260221	1	春节
20260222	1	春节
20260223	1	春节
20260228	0	春节
20260404	1	清明节
20260405	1	清明节
20260406	1	清明节
20260501	1	劳动节
